168.138.212.80:443#JP 68ms
47.74.157.194:443#SG 72ms
129.150.56.114:443#SG 100ms
155.248.171.251:443#JP 112ms
138.2.122.191:443#KR 117ms
150.230.205.41:443#JP 122ms
144.21.62.56:443#GB 124ms
141.147.160.166:443#JP 126ms
138.2.175.249:443#DE 129ms
146.56.96.206:443#KR 129ms
138.2.132.160:443#DE 130ms
150.230.115.48:443#GB 131ms
158.180.90.43:443#KR 134ms
168.138.13.201:443#AU 135ms
155.248.178.60:443#JP 156ms
150.230.207.104:443#JP 157ms
192.9.236.144:443#US 160ms
129.153.203.62:443#US 164ms
141.144.197.136:443#NL 165ms
141.144.198.131:443#NL 165ms
141.144.195.224:443#NL 166ms
193.123.254.142:443#KR 170ms
141.144.196.32:443#NL 171ms
152.70.53.255:443#NL 171ms
132.226.16.97:443#KR 172ms
152.70.59.138:443#NL 172ms
130.162.130.105:443#KR 173ms
152.70.237.222:443#KR 173ms
144.21.42.2:443#NL 176ms
144.21.42.171:443#NL 176ms
141.147.185.160:443#JP 179ms
150.230.200.85:443#JP 179ms
47.254.86.133:443#US 182ms
138.2.0.195:443#JP 188ms
47.254.22.131:443#US 189ms
141.144.202.73:443#NL 190ms
152.70.54.5:443#NL 190ms
141.144.199.177:443#NL 193ms
132.145.87.184:443#KR 196ms
138.2.20.151:443#JP 196ms
8.219.255.49:443#SG 196ms
8.219.236.218:443#SG 197ms
8.222.227.160:443#SG 197ms
8.222.165.104:443#SG 200ms
132.226.163.224:2053#BR 81ms
150.230.146.170:2053#DE 136ms
150.230.20.156:2053#NL 200ms
